INDEKSAS,PAVAD,LIDAR_LAZ
44/58,AUNUVĖNAI,https://www.geoportal.lt/download/lidar_data/2026/44_58.zip
45/58,KALNIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/45_58.zip
46/58,VARPUTĖNAI,https://www.geoportal.lt/download/lidar_data/2026/46_58.zip
41/57,MIKSODIS,https://www.geoportal.lt/download/lidar_data/2026/41_57.zip
42/57,MINUPIAI,https://www.geoportal.lt/download/lidar_data/2026/42_57.zip
43/57,VOLUNGIAI,https://www.geoportal.lt/download/lidar_data/2026/43_57.zip
44/57,UŠNĖNAI,https://www.geoportal.lt/download/lidar_data/2026/44_57.zip
45/57,ŠAUKĖNAI,https://www.geoportal.lt/download/lidar_data/2026/45_57.zip
46/57,ŠUKIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/46_57.zip
41/56,UŽGLUDIS,https://www.geoportal.lt/download/lidar_data/2026/41_56.zip
42/56,KOLAINIAI,https://www.geoportal.lt/download/lidar_data/2026/42_56.zip
43/56,UŽVENTIS,https://www.geoportal.lt/download/lidar_data/2026/43_56.zip
44/56,VABALIAI,https://www.geoportal.lt/download/lidar_data/2026/44_56.zip
45/56,LYKŠILIS,https://www.geoportal.lt/download/lidar_data/2026/45_56.zip
46/56,LAIKŠĖS,https://www.geoportal.lt/download/lidar_data/2026/46_56.zip
41/55,VENIAI,https://www.geoportal.lt/download/lidar_data/2026/41_55.zip
42/55,LABŪNAVĖLĖ,https://www.geoportal.lt/download/lidar_data/2026/42_55.zip
43/55,JUNKILAI,https://www.geoportal.lt/download/lidar_data/2026/43_55.zip
44/53,AKMENIAI,https://www.geoportal.lt/download/lidar_data/2026/44_53.zip
42/52,BURNIAI,https://www.geoportal.lt/download/lidar_data/2026/42_52.zip
43/52,KRAŽIAI,https://www.geoportal.lt/download/lidar_data/2026/43_52.zip
44/52,BUTKIŠKĖ,https://www.geoportal.lt/download/lidar_data/2026/44_52.zip
45/52,PAPRŪDŽIAI,https://www.geoportal.lt/download/lidar_data/2026/45_52.zip
46/52,RIKANTAI,https://www.geoportal.lt/download/lidar_data/2026/46_52.zip
41/51,NUOMININKAI,https://www.geoportal.lt/download/lidar_data/2026/41_51.zip
42/51,KASČIUKAI,https://www.geoportal.lt/download/lidar_data/2026/42_51.zip
43/51,PLŪŠČIOS,https://www.geoportal.lt/download/lidar_data/2026/43_51.zip
44/51,GRINIAI,https://www.geoportal.lt/download/lidar_data/2026/44_51.zip
45/51,UŽMEDŽIAI,https://www.geoportal.lt/download/lidar_data/2026/45_51.zip
46/51,LIOLIAI,https://www.geoportal.lt/download/lidar_data/2026/46_51.zip
46/68,NAUJOJI AKMENĖ,https://www.geoportal.lt/download/lidar_data/2026/46_68.zip
47/68,ŠAPNAGIAI,https://www.geoportal.lt/download/lidar_data/2026/47_68.zip
50/68,VERŠIAI,https://www.geoportal.lt/download/lidar_data/2026/50_68.zip
51/68,KEMSIAI,https://www.geoportal.lt/download/lidar_data/2026/51_68.zip
45/67,ALKIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/45_67.zip
46/67,SABLAUSKIAI,https://www.geoportal.lt/download/lidar_data/2026/46_67.zip
47/67,PAKALNIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/47_67.zip
50/65,BUČIŪNAI,https://www.geoportal.lt/download/lidar_data/2026/50_65.zip
51/65,JANKŪNAI,https://www.geoportal.lt/download/lidar_data/2026/51_65.zip
50/64,SAVEIKIAI,https://www.geoportal.lt/download/lidar_data/2026/50_64.zip
51/64,BERŽĖNAI,https://www.geoportal.lt/download/lidar_data/2026/51_64.zip
52/61,DOMANTAI,https://www.geoportal.lt/download/lidar_data/2026/52_61.zip
44/55,PIKELIAI,https://www.geoportal.lt/download/lidar_data/2026/44_55.zip
45/55,SKULBIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/45_55.zip
46/55,PARAMOTIS,https://www.geoportal.lt/download/lidar_data/2026/46_55.zip
41/54,KARKLĖNAI,https://www.geoportal.lt/download/lidar_data/2026/41_54.zip
42/54,GORAINIAI,https://www.geoportal.lt/download/lidar_data/2026/42_54.zip
43/54,PAGIAI,https://www.geoportal.lt/download/lidar_data/2026/43_54.zip
44/54,VAIGUVA,https://www.geoportal.lt/download/lidar_data/2026/44_54.zip
45/54,PAKĖVIS,https://www.geoportal.lt/download/lidar_data/2026/45_54.zip
46/54,PALŠIAI,https://www.geoportal.lt/download/lidar_data/2026/46_54.zip
41/53,PAALKSNIAI,https://www.geoportal.lt/download/lidar_data/2026/41_53.zip
42/53,ŠVENTRAGIAI,https://www.geoportal.lt/download/lidar_data/2026/42_53.zip
43/53,PETRALIŠKĖ,https://www.geoportal.lt/download/lidar_data/2026/43_53.zip
45/53,GAŠTYNAI,https://www.geoportal.lt/download/lidar_data/2026/45_53.zip
46/53,KELMĖ,https://www.geoportal.lt/download/lidar_data/2026/46_53.zip
41/52,PAŠILĖ,https://www.geoportal.lt/download/lidar_data/2026/41_52.zip
49/65,ŠAKYNA,https://www.geoportal.lt/download/lidar_data/2026/49_65.zip
52/68,SKAISTGIRYS,https://www.geoportal.lt/download/lidar_data/2026/52_68.zip
